indiana	279
need	224
know	93
what	357
the	4817
laws	25
says	23
about	177
auto	6
diminution	1
value	23
claim	75
how	201
calculate	1
null	561
assuming	23
question	108
damage	11
car	74
determined	10
accent	1
case	207
was	398
totalled	2
standard	9
price	10
that	995
willing	12
seller	14
would	273
accept	8
from	273
buyer	30
insurance	49
companies	17
often	15
want	108
use	116
various	7
different	30
appraisal	2
services	54
justify	5
lower	4
amount	49
not	719
then	118
simply	19
matter	37
cost	27
repair	7
wanting	4
avoid	11
court	382
sons	8
girlfriend	12
recently	14
moved	14
out	164
her	169
parents	28
house	123
shes	8
without	121
having	46
can	735
she	182
get	272
dog	13
back	76
who	188
are	566
refusing	6
give	64
has	281
few	23
vet	4
bills	8
and	1758
some	109
prize	2
ribbons	2
won	3
please	43
help	94
you	1534
asking	18
whether	102
sue	34
have	768
enough	37
facts	117
answer	115
will	382
probably	52
say	29
they	311
own	70
right	82
course	17
pay	106
attorney	290
ton	1
money	72
might	63
try	28
herself	8
but	252
costs	22
locally	2
call	47
clerk	20
ask	59
why	43
amendment	10
important	16
because	107
sets	4
term	13
limit	9
for	1231
election	1
overall	2
time	177
service	39
office	106
president	1
united	20
states	60
female	3
well	25
looking	16
baby	14
together	14
via	9
insemination	1
any	250
rights	92
said	55
child	193
able	96
adopt	11
understand	15
anti	1
gay	2
does	145
believe	23
just	108
marriage	38
yes	80
should	178
difficulty	4
based	38
sexual	17
preference	1
handled	4
these	53
before	114
husband	79
being	86
charged	39
with	624
class	60
felony	64
theft	18
didnt	40
actually	23
take	131
anything	56
his	169
friend	34
supposedly	1
got	43
permission	24
bunch	4
scrap	5
metal	5
burnt	2
down	18
abandoned	8
neighbors	12
this	444
called	27
police	27
them	115
buddy	1
took	28
off	26
showed	8
leaving	11
high	5
dry	1
punishment	5
knowing	6
noone	3
could	99
locate	4
home	86
owners	14
now	109
jail	33
faced	2
charge	43
leave	33
truck	8
everything	16
had	160
put	41
while	67
were	104
there	352
still	69
him	128
quick	4
prosecutors	9
great	20
deal	17
discretion	4
file	201
charges	34
order	209
convicted	13
state	164
prove	18
your	633
knowingly	15
intentionally	8
exerted	2
control	20
over	89
property	198
another	60
person	253
did	65
owner	78
friends	15
heshe	9
gets	13
which	133
highly	7
recommend	19
focus	1
element	5
exerting	1
defense	31
speak	26
criminal	54
soon	22
possible	35
definition	4
evading	1
indiananeed	1
misdemeanoror	1
here	72
resisting	2
law	201
enforcement	16
mandatory	2
sentence	21
sec	79
forcibly	2
resists	2
obstructs	2
interferes	2
officer	30
assisting	1
lawfully	2
engaged	3
execution	6
officers	7
duties	5
authorized	3
civil	35
process	27
flees	1
after	123
visible	1
audible	1
means	32
including	34
operation	5
siren	1
emergency	13
lights	1
identified	3
himself	6
ordered	22
stop	23
commits	11
misdemeanor	16
except	16
provided	30
subsection	33
offense	44
under	180
described	15
uses	6
vehicle	37
commit	6
committing	9
draws	1
deadly	3
weapon	4
inflicts	1
bodily	14
injury	36
otherwise	17
causes	10
operates	6
manner	19
creates	3
substantial	6
risk	18
serious	12
death	24
official	6
purposes	29
section	35
